sentence,classification
"Miraculously, he says, it was missed.",False
"And I don't think a lot of people knew my GPA or knew that I was that high in the class, possibly.",False
"If you feel it, you can feel he's got water in his tissues.",False
"Oh  toss it  out window  10-19-40sUser27 ",False
"So for Josh to go that far, to be that specific, and to be that pointed at Donald Trump is that the niceties are over, we've helped you as far as the transition.",False
"whos kennedy",True
"What that is nobody will know until they actually take the deal.",False
"JOIN",False
"hiya 11-09-40sUser22 yoder",False
"woohoo paypal",False
"But then you have to think about your family.",False
"11-09-20sUser168 get of he's mine",False
"where is everyone at",True
"And H.R.",False
"Many spent the night in the airport last night, and we're meeting a lot of travelers who are trying to get to their plans.",False
"Good afternoon.",False
"Chris is in Salvador, Brazil talking with some soccer experts about whether or not the U.S. has what it takes to advance.",False
"nite niteeeeeeeeeeeeeeeeeee",False
"We'll be interviewing all passengers, crew.",False
"You know, that's one of the big worries that I have going into this.",False
"its 30 10-19-adultsUser32 trust me lol",False
"They need help with keeping these weapons out of these people's hands.",False
"Those are just distractions for the president and I don't think any voters whether they voted for him or not want him to be distracted right now.",False
"We're covering the news the world wants to know.",False
"That is the gunfire at the Bataclan theater as police stormed the building to try to rescue hostages.",False
"Is that okay with you.",True
"PART",False
"it was in the summer.... and at some point we reached a road where there were miles and miles of chicken farms",False
"11-08-20sUser21 i want a nick name too",False
"And also what kind of work was he doing at the time.",True
"That's so true.",False
"soory",False
"Less equipped.",False
"doody",False
"yep.. whupped 11-09-40sUser8",False
"PART",False
"And as you know there are very many competing priorities in South Africa.",False
"leave her alone",False
"Senator Doug Jones, Democrat of Alabama, thanks so much for your time, sir.",False
"chronic = weed",False
"What is the objection of doing the DNA testing.",True
"Ben, let's start with you.",False
"Instead, the coverage has been almost exclusively Ronald Reagan.",False
".ACTION falls on the floor.",False
"JOIN",False
"PART",False
"They did allow these five African presidents to fly in here today and to try and start up these talks.",False
"Very well put and a great way to end it.",False
"So he's saying time and time again here, Iraqis do not like Americans.",False
"JOIN",False
"Uhhh, no.",False
"We might get some new colors, green and purple are in the mix, maybe a matte finish, but it'll largely look the same.",False
"hi 10-24-40sUser51",False
"JOIN",False
"It's a management game.",False
"oooooooooooo ghost hunters is on ya all talk to me if i get scared right ",False
"Every patient who leaves, every person who leaves has their temperature monitored.",False
"anyone wanna chat",True
"They're not part of the judicial branch even though they carry out judicial functions.",False
"You have a son in the military.",False
"There are mistakes in punctuation, in sentence structure.",False
"And he has come along and rekindled that confidence.",False
"hi ppl",False
"JOIN",False
"Some of the calls were for some kind of action in Washington for President Obama to do something.",False
"reallly",False
"But unless we act and act now, none of this will change.",False
"You know, if she, you know, seemed stressed out.",False
"Nancy Pelosi says that this weekend, she'll be checking on her supplies at home.",False
"Thank you.",False
"And we got quite a rare glimpse into that mindset this week from the world number one, no less, Jason Day.",False
"One thing to keep in mind though, this is not just about the JPMorgan.",False
"I thought they showed real grace.",False
"Well, Chris, one thing we have to do is to keep this in mind.",False
"That interview was taking place in Todashev's Orlando home.",False
"He does believe in Brexit.",False
"I'll see you there.",False
"Scientists call it a positive feedback loop, and it's causing Greenland's ice to disappear.",False
"anyone  here listen to z-ro.",True
"And, you know, a lot of those calls did not turn out to locate Brian Nichols.",False
"Kyl responded at a news conference.",False
"About your.",False
"And, we look at it as tawdry.",False
"Jeffrey Lord.",True
"The president this morning, let me tell you what he did.",False
"PART",False
"Are you ready for this.",True
"ouch.......close your legs and we'll both be able to breath",False
"I mean, surely, with a town this size, folks are reeling from this.",False
"All goes well.",False
"How is the field shifting here, Jeff.",True
"Then, when he was 7, Patty met Augusto Odone at a medical conference and started giving Michael the oil.",False
"He has been campaigning on saying that he reduced crime in Baltimore because of his policy.",False
"All right.",False
"In this decade, we have got to rise to the challenge.",False
"me too",False
"It's really hard to see how it is possible to punish North Korea anymore.",False
"Thank you, viewers, for participating.",False
"10-26-teensUser119.",False
"Poor me, poor me, pour me a drink.",False
"And I cannot believe that we're even having a discussion.",False
"All right, Congressman Ro Khanna, thank you so much for being with us.",False
"This is CNN SUNDAY NIGHT.",False
"ae you sexy.",True
"What do you recognize it to be.",True
"!seen 11-09-20sUser989",False
"Unwise comparisons, ugly personal rumors, crime.",False
"He's a perv, I can tell",False
"You know, it's different having basically an experimental device underground and putting something that has to, you know, withstand the rigors of the real world.",False
"You hit it right on the head.",False
"Some up to 57 miles an hour in the New York/Newark area, had nothing to do with what was going on in Buffalo is the point.",False
"JOIN",False
"We've done some damage to it.",False
"He wasn't an ideologue on it.",False
"I've been hard on him.",False
"Well, I think Porter Goss acknowledged to me yesterday in my office, today at the hearing, he said some things that he now regrets.",False
"But they're at a hotel right now.",False
"Is that something that you note with some sadness, the fact that science for the shuttle or these science missions for now are kind of suspended.",True
"So this is his concern.",False
"Does the president being out there, historically, make a big difference.",True
"ill miss whoever the hell he was",False
"That's incredibly shallow.",False
